Date,Load,LBMP,DI,WC,wetbulb,T2MWET,winddirection,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UV_INDEX,specifichumidity,PS
2016-01-01 00:00:00,4894.5,213.2,37.97465424,2.616959994593356,1.3,2.0,300.9,0.0,0.0,0.0,4.15,101.28
2016-01-01 01:00:00,4712.7,19.08,37.70659906,2.6211614134952352,1.01,1.76,298.94,0.0,0.0,0.0,4.03,101.27
2016-01-01 02:00:00,4510.4,24.46,37.7055688,2.51239728407576,0.68,1.54,299.02,0.0,0.0,0.0,3.97,101.28
2016-01-01 03:00:00,4368.4,11.39,37.32988936,2.371305769628262,0.52,1.36,297.84,0.0,0.0,0.0,3.91,101.26
2016-01-01 04:00:00,4286.8,1.98,37.17494952,2.237052843946054,0.37,1.23,295.49,0.0,0.0,0.0,3.85,101.24
2016-01-01 05:00:00,4312.1,6.19,36.64890072,2.136011930328028,0.19,1.01,293.15,0.0,0.0,0.0,3.78,101.24
2016-01-01 06:00:00,4405.8,9.15,36.4794125,2.083818238554465,0.08,0.89,291.74,0.0,0.0,0.0,3.78,101.25
2016-01-01 07:00:00,4476.1,1.19,36.079496,2.127435446125128,0.01,0.76,288.55,0.03,0.31,0.0,3.78,101.23
2016-01-01 08:00:00,4607.1,1.18,37.50098572,2.242687773082203,0.07,1.09,284.04,0.22,3.73,0.08,3.78,101.22
2016-01-01 09:00:00,4797.0,1.19,40.37159772,2.3924648130592567,-0.75,1.19,284.37,0.54,8.82,0.4,3.54,101.21
2016-01-01 10:00:00,4968.4,3.71,41.821043200000005,2.507636634420605,-1.55,1.02,284.8,0.75,12.41,0.8,3.36,101.18
2016-01-01 11:00:00,5096.0,5.97,43.51836225,2.7391897522277926,-1.71,1.36,280.43,0.87,14.31,1.08,3.3,101.09
2016-01-01 12:00:00,5209.4,7.01,44.74473418,2.896676805934325,-1.63,1.74,273.8,0.72,12.39,0.95,3.36,101.0
2016-01-01 13:00:00,5256.4,15.42,44.746934,2.756113924888808,-1.6,1.76,270.77,0.63,10.09,0.67,3.36,100.94
2016-01-01 14:00:00,5348.7,15.7,43.896214220000005,2.4172212590878064,-1.77,1.42,271.66,0.45,7.37,0.35,3.3,100.91
2016-01-01 15:00:00,5394.0,16.77,42.49939773,1.97802020056968,-1.99,0.92,275.29,0.21,3.27,0.08,3.23,100.92
2016-01-01 16:00:00,5508.8,18.53,40.77117452,1.5754696484505704,-2.14,0.39,279.28,0.05,0.55,0.0,3.23,100.97
2016-01-01 17:00:00,5733.2,20.72,39.73189725,1.2280997310495216,-2.51,-0.1,284.44,0.0,0.0,0.0,3.11,101.05
2016-01-01 18:00:00,5751.5,32.7,38.23500076,0.8044182362197521,-2.99,-0.77,288.49,0.0,0.0,0.0,2.99,101.13
2016-01-01 19:00:00,5699.7,28.32,36.30510288,0.5149102394905563,-3.22,-1.35,287.78,0.0,0.0,0.0,2.93,101.17
2016-01-01 20:00:00,5606.4,22.89,34.853765700000004,0.3204228707384354,-3.41,-1.77,285.22,0.0,0.0,0.0,2.93,101.17
2016-01-01 21:00:00,5501.3,37.34,33.622488319999995,0.0952285662914405,-3.66,-2.19,283.59,0.0,0.0,0.0,2.87,101.16
2016-01-01 22:00:00,5319.0,26.52,32.07888004,-0.1397774481482852,-3.77,-2.56,281.45,0.0,0.0,0.0,2.81,101.15
2016-01-01 23:00:00,5066.5,16.78,31.2383554,-0.3757910165228555,-3.91,-2.81,279.27,0.0,0.0,0.0,2.81,101.16
2016-01-02 00:00:00,4808.3,25.92,30.992503,-0.5110880208426933,-4.1,-2.98,277.46,0.0,0.0,0.0,2.75,101.17
2016-01-02 01:00:00,4593.7,24.9,31.22789878,-0.5805460063760823,-4.35,-3.11,279.89,0.0,0.0,0.0,2.69,101.19
2016-01-02 02:00:00,4431.0,27.57,31.58397764,-0.4999388933196917,-4.22,-2.95,283.83,0.0,0.0,0.0,2.75,101.2
2016-01-02 03:00:00,4337.0,44.91,31.23836,-0.4059320544862553,-4.08,-2.92,287.05,0.0,0.0,0.0,2.75,101.21
2016-01-02 04:00:00,4307.4,1.15,30.2170875,-0.4060497859879564,-4.1,-3.12,288.91,0.0,0.0,0.0,2.75,101.22
2016-01-02 05:00:00,4375.1,28.01,29.37702404,-0.3739209314935103,-4.08,-3.24,288.95,0.0,0.0,0.0,2.75,101.24
2016-01-02 06:00:00,4529.6,24.49,29.06533936,-0.2806232219063598,-4.17,-3.36,289.46,0.0,0.0,0.0,2.75,101.28
2016-01-02 07:00:00,4692.7,6.67,29.45674536,-0.1232249124798654,-4.2,-3.32,289.51,0.06,0.52,0.0,2.75,101.31
2016-01-02 08:00:00,4939.8,10.16,33.69610625,0.4702475025890767,-3.81,-2.27,284.77,0.39,4.52,0.08,2.81,101.32
2016-01-02 09:00:00,5191.1,12.77,38.402074,1.228635907208863,-4.25,-1.57,278.17,0.88,10.8,0.38,2.75,101.33
2016-01-02 10:00:00,5366.3,15.48,41.037296,1.771891012266349,-4.63,-1.15,272.23,1.23,17.16,0.9,2.62,101.29
2016-01-02 11:00:00,5464.3,7.34,42.463859,2.14117025526755,-4.35,-0.6,264.22,1.43,19.97,1.23,2.69,101.17
2016-01-02 12:00:00,5488.8,17.62,43.471415480000005,2.357520928452569,-3.94,-0.06,260.5,1.61,21.7,1.3,2.81,101.05
2016-01-02 13:00:00,5457.8,22.22,44.04369468,2.485655949510826,-3.68,0.26,259.58,1.36,18.11,0.95,2.87,100.97
2016-01-02 14:00:00,5451.5,7.95,43.83298115,2.458631158620584,-3.48,0.34,259.75,0.99,12.32,0.42,2.93,100.93
2016-01-02 15:00:00,5463.2,6.98,42.14467666,2.304200194227028,-2.91,0.24,260.54,0.47,5.19,0.08,3.05,100.92
2016-01-02 16:00:00,5633.5,4.26,36.13300736,1.413819414996056,-2.43,-0.86,262.53,0.06,0.66,0.0,3.17,100.94
2016-01-02 17:00:00,5890.9,16.87,32.855634,0.7344516662116947,-2.77,-1.73,268.13,0.0,0.0,0.0,3.05,100.98
2016-01-02 18:00:00,5915.5,4.65,31.670131,0.6583730386410952,-3.1,-2.17,273.41,0.0,0.0,0.0,2.99,101.0
2016-01-02 19:00:00,5851.5,14.87,30.79831823,0.6455508038553278,-3.42,-2.54,276.05,0.0,0.0,0.0,2.93,101.0
2016-01-02 20:00:00,5741.7,14.61,30.13612256,0.6160941817002996,-3.67,-2.82,276.03,0.0,0.0,0.0,2.87,100.98
2016-01-02 21:00:00,5622.7,20.11,29.4859935,0.5954110565367802,-3.81,-3.04,273.39,0.0,0.0,0.0,2.81,100.94
2016-01-02 22:00:00,5419.1,25.0,29.252142560000003,0.5680691391295113,-3.86,-3.12,262.29,0.0,0.0,0.0,2.81,100.89
2016-01-02 23:00:00,5169.2,11.88,29.35468932,0.393523895817236,-3.73,-3.01,250.84,0.0,0.0,0.0,2.87,100.85
2016-01-03 00:00:00,4887.1,29.66,29.9702216,0.2595989200964009,-3.43,-2.69,245.06,0.0,0.0,0.0,2.93,100.8
2016-01-03 01:00:00,4638.8,27.48,30.5988004,0.2539422714282513,-3.1,-2.35,241.12,0.0,0.0,0.0,2.99,100.75
2016-01-03 02:00:00,4462.2,43.57,30.06127577,0.1514477181683121,-2.81,-2.24,238.43,0.0,0.0,0.0,3.05,100.68
2016-01-03 03:00:00,4354.7,29.19,29.21510186,0.0564197221341742,-2.49,-2.15,235.75,0.0,0.0,0.0,3.17,100.61
2016-01-03 04:00:00,4316.9,29.21,28.544,0.0300794765743024,-2.2,-2.06,232.31,0.0,0.0,0.0,3.23,100.54
2016-01-03 05:00:00,4353.7,28.93,28.544,0.0029200508726747,-2.06,-1.99,231.39,0.0,0.0,0.0,3.3,100.53
2016-01-03 06:00:00,4456.0,16.48,28.544,-0.1540816962867828,-2.01,-1.96,229.57,0.0,0.0,0.0,3.3,100.53
